subset,sample_id,num_nodes,num_faces,inlet_count,wss_mag_mean,wss_mag_std,wss_mag_max,pressure_mean,pressure_min,pressure_max,pressure_range
single,sample_0000,10475,20946,265,30.001700466491286,47.20776336307258,443.42567332755334,134969.3613394988,131830.515625,138535.75,6705.234375
single,sample_0001,10276,20548,271,18.82665724763037,20.84552268270018,348.27415424238615,134103.27655459323,133319.328125,135996.625,2677.296875
single,sample_0002,9463,18922,244,22.110550781442228,18.865182799647965,348.3659814379663,134405.50544720227,133322.75,136476.03125,3153.28125
single,sample_0003,11845,23686,272,36.237558195742224,49.75027951703463,348.1524187537618,135540.23164441748,132690.03125,139176.953125,6486.921875
single,sample_0004,7980,15956,197,28.34399564486431,23.630806576248105,352.63235554725406,135049.32450657894,133322.0,137788.71875,4466.71875
single,sample_0005,8419,16834,204,26.999527619758915,31.506418155348417,351.7218839206952,134863.91077844755,133067.640625,138129.984375,5062.34375
single,sample_0006,10127,20250,252,25.57703346618334,31.15585230888063,347.9535080510163,134796.15883282316,132824.578125,137390.265625,4565.6875
single,sample_0007,9970,19936,262,22.167636021029608,21.042872606553818,348.15361333403274,134378.23550651956,133319.5,136549.390625,3229.890625
single,sample_0008,9435,18866,248,24.924417405783355,34.3814479027112,348.9230191470381,134737.55375761792,132691.515625,137275.46875,4583.953125
single,sample_0009,9916,19828,263,29.004557231343252,32.471523092890784,348.51065215478627,134760.3493328333,133322.28125,137724.765625,4402.484375
single,sample_0010,7816,15628,211,23.325804087247857,22.74589688974681,351.3028039641253,134496.63386602802,133313.59375,136578.484375,3264.890625
single,sample_0011,9698,19392,264,23.807651179356625,34.3381062705106,348.4764380710909,134545.46854538308,132557.6875,137031.234375,4473.546875
single,sample_0012,10800,21596,275,18.61444220594883,21.923232050494526,347.8197398046008,134120.29199508103,133279.84375,136162.625,2882.78125
single,sample_0013,9349,18694,239,23.72207054795567,24.780268165943717,348.8727004733202,134443.37283399294,133321.078125,136875.046875,3553.96875
single,sample_0014,10097,20190,257,30.82231262669851,39.26371356621449,347.94906575612737,135155.40973649352,133040.125,138136.59375,5096.46875
single,sample_0015,8532,17060,228,27.782383701638388,42.48069573569328,354.68571301328615,135040.17355800222,132159.734375,138356.75,6197.015625
single,sample_0016,9122,18240,238,25.237145613680724,27.396602749351562,348.9418080520178,134678.8238256413,133319.703125,137239.203125,3919.5
single,sample_0017,10791,21578,265,30.508203763154615,51.26812846777117,475.4037275307778,135204.1323788342,131636.625,138442.390625,6805.765625
single,sample_0018,10757,21510,274,27.371941264542,35.63251430458608,347.9997078050979,134844.53699916333,132815.4375,137477.140625,4661.703125
single,sample_0019,11227,22450,269,35.669176935909995,48.75949463839973,369.6977778450706,135297.0285277679,132365.453125,139040.015625,6674.5625
single,sample_0020,9750,19496,255,26.125789808899007,36.02203772452653,348.663767026221,134638.69225801283,132557.84375,137619.59375,5061.75
single,sample_0021,9711,19418,263,21.416418747522293,26.44959747592692,347.9941678231904,134352.13806508083,133133.046875,136485.078125,3352.03125
single,sample_0022,9814,19624,248,29.741238555463596,48.233720562336906,355.44170331450283,135178.33090801406,132238.328125,138358.5625,6120.234375
single,sample_0023,10470,20936,265,25.18814065105019,32.69097245982416,347.9422295438952,134522.2881820081,133117.0,137138.546875,4021.546875
single,sample_0024,10532,21060,255,25.66638841681082,30.641620835513702,348.26396509298564,134479.49767078902,133323.390625,137077.390625,3754.0
single,sample_0025,5883,11762,158,27.83791497301532,25.07609198560536,355.89640255775356,134880.9439141382,133321.203125,137296.0625,3974.859375
single,sample_0026,9952,19900,242,36.88533587118239,43.39181187954122,348.73871448958164,135422.25319345357,133228.34375,139225.234375,5996.890625
single,sample_0027,8924,17844,233,22.849558726623517,23.975334009548085,349.56372105429506,134436.35909835837,133320.375,137093.625,3773.25
single,sample_0028,9862,19720,260,31.894590321576125,42.77169739137899,348.17909655623123,135184.57944952848,133022.984375,138561.75,5538.765625
single,sample_0029,10035,20066,268,21.231050500194645,20.19191418898329,348.20836394300306,134311.62178624814,133318.734375,136359.890625,3041.15625
single,sample_0030,10500,20996,253,23.46999518126035,25.77347194611403,347.8903718310764,134431.16299255952,133285.625,136730.234375,3444.609375
single,sample_0031,7748,15492,215,26.019823659005976,24.940456927673754,350.73508779856667,134605.07654596347,133321.015625,137448.859375,4127.84375
single,sample_0032,7475,14946,198,24.802102133913028,25.48401859319629,352.03801829858224,134515.46405100334,133321.265625,136974.640625,3653.375
single,sample_0033,10743,21482,253,21.93631167156881,30.942980677872097,348.36185943184705,134282.5014151657,133016.90625,136708.875,3691.96875
single,sample_0034,9516,19028,263,24.71927355231859,27.38671228286791,348.76689306931394,134568.25254669768,133321.375,137126.390625,3805.015625
single,sample_0035,9477,18950,229,41.008652551118935,55.08313373276863,364.44068085385067,136526.4154762847,132261.671875,141211.671875,8950.0
single,sample_0036,8897,17790,241,27.8144211306357,31.455204562238904,350.23940641403044,134990.79659400642,133100.828125,138036.875,4936.046875
single,sample_0037,10508,21012,260,32.42958370587612,47.30438234767882,347.86240888129373,135318.21439171347,132236.875,138535.28125,6298.40625
single,sample_0038,9471,18938,240,25.99785015888482,27.09520800452427,348.65173786465635,134703.105465038,133321.25,137483.125,4161.875
single,sample_0039,9683,19362,259,23.207907703531628,24.827359341358026,348.65818300070765,134485.71959232676,133320.40625,136783.9375,3463.53125
single,sample_0040,7813,15622,198,40.85476589233336,55.446786436415145,395.3179053092874,136274.1011015295,132310.875,140796.0,8485.125
single,sample_0041,9191,18378,248,22.480027501872808,21.946056612821085,349.0621792739534,134396.8675368567,133318.515625,136746.359375,3427.84375
single,sample_0042,9799,19594,257,33.3695123203516,45.85140725774974,348.60517658104277,135541.5566097306,132407.28125,138820.5625,6413.28125
single,sample_0043,9605,19206,243,24.643962263637096,35.435644531276665,349.1300932503074,134602.60673152003,132751.171875,137277.28125,4526.109375
single,sample_0044,9312,18620,217,39.62907445278591,50.863222684050115,351.34259515158266,136543.0127238375,132814.859375,141234.171875,8419.3125
single,sample_0045,6660,13316,170,29.2296145692048,26.148319342385236,353.94713325937244,134999.5488621434,133320.515625,137677.84375,4357.328125
single,sample_0046,7969,15934,221,30.73229870037825,35.43570819575594,350.65076759233625,134992.39476800727,133321.046875,138426.71875,5105.671875
single,sample_0047,9365,18726,247,24.690908034941728,26.233241603651962,348.371590857808,134631.69157434598,133321.296875,137022.53125,3701.234375
single,sample_0048,9184,18364,231,21.347093108956617,19.602390398065534,350.08674842070326,134319.5872968614,133321.546875,136392.34375,3070.796875
single,sample_0049,8887,17770,219,29.6743274519441,47.25809905560945,378.2603755075643,135225.0698703162,131798.359375,138862.546875,7064.1875
single,sample_0050,6131,12258,152,36.69530369021308,48.59706085963221,355.14558598851835,135670.57005892188,133014.015625,139464.078125,6450.0625
single,sample_0051,9250,18496,241,29.7704848322836,47.838828218763645,349.0101058852515,135235.01483277028,132155.265625,138620.46875,6465.203125
single,sample_0052,10850,21696,262,37.128612721510905,53.91887712814826,449.48961963423795,135807.65148761522,131825.171875,139629.96875,7804.796875
single,sample_0053,9452,18900,254,28.591041579846916,42.73136583645071,348.6336002183644,134932.068165137,132609.859375,138032.34375,5422.484375
single,sample_0054,9959,19914,257,35.707711562711985,55.487261086768605,388.1620688281003,135414.03837452305,131758.875,139428.796875,7669.921875
single,sample_0055,9048,18092,234,23.09910393352654,19.864822350048513,350.259209895638,134542.54636729113,133318.90625,136968.140625,3649.234375
